id,ts,rid,av,sv,ch,md,dr,os,cap,mkt,wid,c,st,ctx,ov,sd,ep,eb,ea,es,tp,sh,srq,sfl,b5,cs,fee,status,xp,pnl,er,xt,tx,xb,xa,xs,ms,me,eds,ods,drt,maxb,minb,ttmax,ttmin,tfp,sc,hc,fp,ff,why,v30,v60,du,dd,te
1332,2026-04-14T16:23:30.017600,,,,,,1,,,xrp-updown-5m-1776183600,,xrp,single_leg,,0,up,0.3,,,,0.82,10.0,,,0,3.0,0.06336,closed_loss,0.23,-1.2543999999999997,loss_cut,2026-04-14T16:23:58.424423,61.74882,0.23,,,,2026-04-14T16:25:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,coin_velocity,entry_threshold,liquidity_depth,feed_count,risk_limits","time_remaining,entry_floor,vel_divergence",Only -0s remaining,0.27737226277370824,-0.058198748726912115,233.56230000000002,0.0,-0.048998
1331,2026-04-14T16:22:59.959624,,,,,,1,,,eth-updown-5m-1776183600,,eth,single_leg,,0,up,0.18,,,,0.82,16.0,,,0,2.88,0.07200000000000001,closed_loss,0.14,-1.6307199999999997,loss_cut,2026-04-14T16:23:56.809365,63.363326,0.14,,,,2026-04-14T16:25:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor,vel_divergence",Only -0s remaining,0.0029768486230018418,-0.06459646334363116,301.8405,0.0,-0.039524
1330,2026-04-14T16:22:28.890132,,,,,,1,,,sol-updown-5m-1776183600,,sol,single_leg,,0,up,0.23,,,,0.82,13.0,,,0,2.99,0.0684,open,,,,,,,,,,2026-04-14T16:25:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only -0s remaining,-0.03505491937368677,-0.10509107893508106,0.0,21.861700000000003,-0.043953
1329,2026-04-14T16:21:40.220116,,,,,,1,,,btc-updown-5m-1776183600,,btc,single_leg,,0,up,0.17,,,,0.82,17.0,,,0,2.89,0.07271999999999999,closed_loss,0.08,-2.65608,loss_cut,2026-04-14T16:21:52.104308,188.06966,0.08,,,,2026-04-14T16:25:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 1s remaining,-0.02869097429767659,0.0,561.3014000000001,0.0,0.994382
1328,2026-04-14T16:16:59.526564,,,,,,1,,,doge-updown-5m-1776183300,,doge,swing_leg,,0,up,0.3,,,,0.55,10.0,,,0,3.0,0.5039999999999999,closed_loss,0.15,-2.112,loss_cut,2026-04-14T16:17:07.813520,172.386373,0.15,,,,2026-04-14T16:20:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,first_leg_price,not_already_arb,coin_velocity,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,first_leg_floor,directional_neutrality,liquidity_symmetry",Only 0s left — not enough time to leg in,0.04192872117400248,0.083892617449661,145.88086,0.0,0.260013
1327,2026-04-14T16:16:46.080332,,,,,,1,,,btc-updown-5m-1776183300,,btc,single_leg,,0,up,0.3,,,,0.82,10.0,,,0,3.0,0.06336,closed_loss,0.18,-1.7904,loss_cut,2026-04-14T16:17:41.563097,138.611098,0.18,,,,2026-04-14T16:20:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 0s remaining,0.0005837981937049417,0.0,946.5817000000001,0.0,0.285002
1326,2026-04-14T16:12:27.121047,,,,,,1,,,bnb-updown-5m-1776183000,,bnb,swing_leg,,0,up,0.32,,,,0.55,9.0,,,0,2.88,0.4406399999999999,closed_loss,0.17,-1.8878399999999997,loss_cut,2026-04-14T16:12:30.760855,149.415831,0.17,,,,2026-04-14T16:15:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,first_leg_price,not_already_arb,coin_velocity,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,first_leg_floor,directional_neutrality,liquidity_symmetry",Only 1s left — not enough time to leg in,0.027232242975676654,0.07372149302048538,34.466300000000004,0.0,0.591349
1325,2026-04-14T16:07:57.459575,,,,,,1,,,sol-updown-5m-1776182700,,sol,single_leg,,0,up,0.21,,,,0.82,14.0,,,0,2.94,0.06984,closed_win,0.8,8.058400000000002,near_close,2026-04-14T16:09:30.956366,29.224442,0.8,,,,2026-04-14T16:10:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor,vel_divergence",Only 0s remaining,-0.05810575246949118,-0.12774358378817727,12.5926,0.0,0.370223
1324,2026-04-14T16:07:16.032641,,,,,,1,,,btc-updown-5m-1776182700,,btc,single_leg,,0,down,0.24,,,,0.82,12.0,,,0,2.88,0.06768,closed_loss,0.15,-1.8144,loss_cut,2026-04-14T16:08:01.083348,119.09223,0.15,,,,2026-04-14T16:10:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 0s remaining,0.03037368885479202,0.0,0.0,15.20392,0.380132
1323,2026-04-14T16:06:58.401042,,,,,,1,,,doge-updown-5m-1776182700,,doge,swing_leg,,0,up,0.31,,,,0.55,9.0,,,0,2.79,0.44711999999999996,closed_win,0.41,0.07055999999999982,profit_target,2026-04-14T16:07:39.963130,140.216934,0.41,,,,2026-04-14T16:10:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,first_leg_price,not_already_arb,coin_velocity,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,first_leg_floor,directional_neutrality,liquidity_symmetry",Only 0s left — not enough time to leg in,-0.010422094841059014,-0.06250000000000469,0.0,89.6748,0.352744
1322,2026-04-14T16:01:55.397855,,,,,,1,,,eth-updown-5m-1776182400,,eth,single_leg,,0,up,0.54,,,,0.67,5.0,,,0,2.7,0.05687999999999999,closed_win,0.65,0.25839999999999996,profit_target,2026-04-14T16:02:00.160473,180.012863,0.65,,,,2026-04-14T16:05:00+00:00,,,,,,,,,0,0,"market_active,entry_window,books_available,entry_threshold,vel_divergence,liquidity_depth,feed_count,risk_limits","time_remaining,coin_velocity,entry_floor",Only 1s remaining,-0.004645976584264186,-0.009713822346860246,0.0,152.12030000000001,0.728442
