id,d,t,c,st,sd,rid,av,sv,ch,md,dr,os,cap,wid,ctx,ov,ep,tp,eb,ea,es,sh,srq,sfl,b5,cs,fee,te,ts,v30,v60,du,dd,eds,ods,drt,ma,sg,sgv,sge,sgd,sgs,sgt,sgb,td,hsd,fp,ff,why,er,xp,xb,xa,xs,tx,hd,pnl,pp,maxb,minb,ttmax,ttmin,tfp,sc,hc,mfe,mae,pnp,tnp,sx,status
2013,2026-04-16,16:46:42,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.62,0.6799999999999999,0.61,0.62,0.010000000000000009,16.0,16.0,16.0,0,9.92,0.032630400000000004,0.0,2026-04-16T16:45:00+00:00,0.062,,,0.1,803.758,838.1903,0.9589206651520544,aligned,76.66,35.0,5.0,15.0,7.5,4.77,9.39,0.05999999999999994,803.758,838.1903,197.565405,profit_target,0.69,0.69,0.7,0.010000000000000009,0.6021759999999993,,0,0.0,2026-04-16T16:46:47.212361,192.960226,0.69,0.64,4.751041,1,1,Lead-lag UP @0.620 vel=0.103%,0.06999999999999995,0.0,0.6021759999999993,1,1,
2012,2026-04-16,16:46:41,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.62,0.6799999999999999,0.61,0.62,0.010000000000000009,16.0,16.0,16.0,0,9.92,0.032630400000000004,0.0,2026-04-16T16:45:00+00:00,0.062,,,0.1,1302.1342,1145.4763,1.136762235936265,aligned,75.32,35.0,5.0,15.0,7.5,4.67,8.15,0.05999999999999994,1302.1342,1145.4763,198.589583,profit_target,0.7,0.7,0.71,0.010000000000000009,0.7666687999999994,,0,0.0,2026-04-16T16:46:47.454305,192.722377,0.7,0.61,6.019401,1,1,Lead-lag UP @0.620 vel=0.104%,0.07999999999999996,0.010000000000000009,0.7666687999999994,1,1,
2011,2026-04-16,16:46:40,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.62,0.6799999999999999,0.61,0.62,0.010000000000000009,16.0,16.0,16.0,0,9.92,0.032630400000000004,0.0,2026-04-16T16:45:00+00:00,0.062,,,0.12,1082.6856,724.6475999999999,1.4940856769552542,aligned,71.29,35.0,5.0,15.0,7.5,4.58,4.21,0.05999999999999994,1082.6856,724.6475999999999,199.619805,profit_target,0.68,0.68,0.69,0.009999999999999898,0.43791360000000096,,0,0.0,2026-04-16T16:46:46.405238,193.766172,0.68,0.61,5.996189,1,1,Lead-lag UP @0.620 vel=0.117%,0.06000000000000005,0.010000000000000009,0.43791360000000096,1,1,
2010,2026-04-16,16:46:38,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.61,0.6699999999999999,0.6,0.61,0.010000000000000009,16.0,16.0,16.0,0,9.76,0.033048,0.0,2026-04-16T16:45:00+00:00,0.061,,,0.1,998.2001,839.8430999999999,1.1885554575610613,aligned,75.65,35.0,6.25,15.0,7.5,4.39,7.51,0.05999999999999994,998.2001,839.8430999999999,201.68126,profit_target,0.69,0.69,0.7,0.010000000000000009,0.7595263999999994,,0,0.0,2026-04-16T16:46:46.659920,193.526285,0.69,0.61,8.305071,1,1,Lead-lag UP @0.610 vel=0.104%,0.07999999999999996,0.0,0.7595263999999994,1,1,
2009,2026-04-16,16:46:37,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.61,0.6699999999999999,0.6,0.61,0.010000000000000009,16.0,16.0,16.0,0,9.76,0.033048,0.0,2026-04-16T16:45:00+00:00,0.061,,,0.09,709.3818,35.9481,19.733499127909404,aligned,68.05,35.0,6.25,15.0,7.5,4.3,0.0,0.05999999999999994,709.3818,35.9481,202.703397,profit_target,0.69,0.69,0.7,0.010000000000000009,0.7595263999999994,,0,0.0,2026-04-16T16:46:46.829700,193.34651,0.69,0.6,9.510553,1,1,Lead-lag UP @0.610 vel=0.089%,0.07999999999999996,0.010000000000000009,0.7595263999999994,1,1,
2008,2026-04-16,16:46:36,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.63,0.68,0.62,0.63,0.010000000000000009,15.0,15.0,15.0,0,9.45,0.03245039999999999,0.0,2026-04-16T16:45:00+00:00,0.063,,,0.09,938.8987,143.2853,6.552651946850095,aligned,65.46,35.0,3.75,15.0,7.5,4.21,0.0,0.050000000000000044,938.8987,143.2853,203.728424,profit_target,0.69,0.69,0.7,0.010000000000000009,0.41723999999999917,,0,0.0,2026-04-16T16:46:47.120147,193.05715,0.69,0.6,10.822939,1,1,Lead-lag UP @0.630 vel=0.091%,0.05999999999999994,0.030000000000000027,0.41723999999999917,1,1,
2007,2026-04-16,16:46:34,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.59,0.6499999999999999,0.58,0.59,0.010000000000000009,16.0,16.0,16.0,0,9.44,0.0337968,0.0,2026-04-16T16:45:00+00:00,0.059,,,0.09,866.5224000000001,1158.1143,0.7482183753365278,aligned,76.09,35.0,8.75,15.0,7.5,4.02,5.82,0.05999999999999994,866.5224000000001,1158.1143,205.773877,profit_target,0.65,0.65,0.66,0.010000000000000009,0.41925120000000093,,0,0.0,2026-04-16T16:46:44.904568,195.276602,0.65,0.58,10.651348,1,1,Lead-lag UP @0.590 vel=0.092%,0.06000000000000005,0.010000000000000009,0.41925120000000093,1,1,
2006,2026-04-16,16:46:33,btc,lead_lag,up,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.59,0.6499999999999999,0.57,0.59,0.020000000000000018,16.0,16.0,16.0,0,9.44,0.0337968,0.0,2026-04-16T16:45:00+00:00,0.059,,,0.11,1074.5216,895.8133,1.1994927960993658,aligned,75.05,35.0,8.75,15.0,5.0,3.93,7.38,0.05999999999999994,1074.5216,895.8133,206.79689,profit_target,0.65,0.65,0.66,0.010000000000000009,0.41925120000000093,,0,0.0,2026-04-16T16:46:45.091641,195.087394,0.65,0.58,11.866562,1,1,Lead-lag UP @0.590 vel=0.108%,0.06000000000000005,0.010000000000000009,0.41925120000000093,1,1,
2005,2026-04-16,16:46:15,bnb,lead_lag,down,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,bnb-updown-5m-1776357900,lead_lag,0,0.65,0.68,0.63,0.65,0.020000000000000018,15.0,15.0,15.0,0,9.75,0.0320472,-0.09263547938861237,2026-04-16T16:45:00+00:00,0.065,,,-0.1,9.9,9.6,1.03125,counter,65.53,35.0,1.25,12.38,5.0,2.35,9.56,0.030000000000000027,9.6,9.9,224.149909,loss_cut,0.57,0.57,0.58,0.010000000000000009,-1.7104080000000013,,0,0.0,2026-04-16T16:46:21.841957,218.335237,0.63,0.57,1.2655,1,,Lead-lag DOWN @0.650 vel=-0.102%,0.0,0.08000000000000007,-0.7974480000000003,1,0,
2004,2026-04-16,16:46:06,btc,lead_lag,down,20260416T164240Z-389e59f3deb1,4.0.4,unknown,389e59f3deb1,both,1,10.0,50000.0,btc-updown-5m-1776357900,lead_lag,0,0.62,0.6799999999999999,0.61,0.62,0.010000000000000009,16.0,16.0,16.0,0,9.92,0.032630400000000004,0.0,2026-04-16T16:45:00+00:00,0.062,,,-0.09,760.8306,1101.4957,0.6907249842191849,counter,68.68,35.0,5.0,15.0,7.5,1.51,4.66,0.05999999999999994,1101.4957,760.8306,233.350108,profit_target,0.68,0.68,0.69,0.009999999999999898,0.43791360000000096,,0,0.0,2026-04-16T16:46:11.490043,228.68967,0.68,0.63,4.81726,1,1,Lead-lag DOWN @0.620 vel=-0.089%,0.06000000000000005,0.0,0.43791360000000096,1,1,
